lottery_draw_number,ds,lottery_result_front_2,lottery_result_front_3,lottery_result_front_4,lottery_result_front_5,lottery_result_back_1,lottery_result_back_2,lottery_draw_date
11024,12,15,16,20,33,8,12,2008/12/26
11025,8,9,25,28,29,2,10,2008/12/27
11026,1,9,15,20,29,7,9,2008/12/28
11027,5,14,25,34,35,2,5,2008/12/29
11028,1,2,13,17,28,1,4,2008/12/30
11029,3,9,17,24,28,6,12,2008/12/31
11030,15,19,25,30,33,3,8,2009/1/1
11031,12,17,19,22,35,4,11,2009/1/2
11032,7,16,23,31,33,3,10,2009/1/3
11033,3,19,24,29,33,3,9,2009/1/4
11034,3,6,9,17,27,3,9,2009/1/5
11035,3,4,13,15,32,4,9,2009/1/6
11036,3,18,29,30,33,8,9,2009/1/7
11037,1,12,14,22,24,10,12,2009/1/8
11038,7,9,11,13,33,10,12,2009/1/9
11039,1,11,14,22,34,6,8,2009/1/10
11040,3,7,15,18,20,1,6,2009/1/11
11041,4,5,11,13,25,3,6,2009/1/12
11042,6,9,18,30,32,10,12,2009/1/13
11043,2,8,23,33,35,5,10,2009/1/14
11044,11,21,24,26,31,6,7,2009/1/15
11045,13,21,22,29,31,7,11,2009/1/16
11046,9,15,16,19,29,4,6,2009/1/17
11047,2,15,22,33,35,5,8,2009/1/18
11048,13,17,25,27,28,2,3,2009/1/19
11049,5,6,10,22,25,1,9,2009/1/20
11050,4,7,29,32,33,8,10,2009/1/21
11051,6,8,12,17,18,5,10,2009/1/22
11052,13,24,31,32,33,3,9,2009/1/23
11053,3,16,28,31,32,1,9,2009/1/24
11054,5,9,16,26,35,3,10,2009/1/25
11055,1,7,31,32,35,2,10,2009/1/26
11056,3,5,29,30,31,8,10,2009/1/27
11057,7,11,30,31,34,9,12,2009/1/28
11058,1,9,27,32,33,3,6,2009/1/29
11059,9,16,21,29,34,7,10,2009/1/30
11060,3,25,29,32,34,9,10,2009/1/31
11061,6,7,16,18,20,4,10,2009/2/1
11062,6,10,17,20,21,3,7,2009/2/2
11063,10,17,18,26,32,1,5,2009/2/3
11064,1,6,27,30,34,1,6,2009/2/4
11065,3,11,14,25,34,1,4,2009/2/5
11066,6,13,18,20,33,9,10,2009/2/6
11067,10,17,22,24,32,3,10,2009/2/7
11068,1,13,16,18,32,7,9,2009/2/8
11069,3,5,28,29,33,4,12,2009/2/9
11070,9,19,22,29,30,2,8,2009/2/10
11071,27,31,33,34,35,4,6,2009/2/11
11072,3,11,13,20,35,3,8,2009/2/12
11073,13,19,20,22,33,5,11,2009/2/13
11074,7,16,23,28,31,3,6,2009/2/14
11075,6,9,20,23,28,6,10,2009/2/15
11076,18,23,25,29,30,1,2,2009/2/16
11077,5,8,19,33,34,1,12,2009/2/17
11078,4,9,16,27,30,2,6,2009/2/18
11079,1,3,23,30,31,2,10,2009/2/19
11080,5,12,30,31,32,1,3,2009/2/20
11081,4,13,20,21,35,2,9,2009/2/21
11082,7,20,25,30,32,5,9,2009/2/22
11083,6,8,18,20,24,4,8,2009/2/23
11084,14,29,31,34,35,1,12,2009/2/24
11085,2,17,19,21,22,3,10,2009/2/25
11086,4,5,6,9,15,1,6,2009/2/26
11087,6,13,20,25,34,7,9,2009/2/27
11088,20,21,27,29,35,3,8,2009/2/28
11089,5,6,23,27,34,3,4,2009/3/1
11090,2,4,29,30,34,5,8,2009/3/2
11091,11,17,23,29,30,6,8,2009/3/3
11092,10,17,19,32,33,1,12,2009/3/4
11093,4,6,8,19,31,10,11,2009/3/5
11094,11,21,22,32,34,4,8,2009/3/6
11095,9,12,17,19,29,6,11,2009/3/7
11096,3,8,20,24,25,1,2,2009/3/8
11097,4,19,28,31,33,11,12,2009/3/9
11098,6,7,28,33,35,1,10,2009/3/10
11099,2,6,9,12,20,5,8,2009/3/11
11100,8,11,13,28,33,8,9,2009/3/12
11101,5,12,20,28,30,3,7,2009/3/13
11102,19,24,28,31,34,4,12,2009/3/14
11103,3,4,26,29,34,1,3,2009/3/15
11104,7,19,27,28,34,2,5,2009/3/16
11105,2,11,26,32,33,5,12,2009/3/17
11106,1,9,29,30,35,5,9,2009/3/18
11107,2,6,18,30,32,1,8,2009/3/19
11108,7,15,18,24,28,1,7,2009/3/20
11109,1,11,12,22,34,8,10,2009/3/21
11110,30,31,33,34,35,4,7,2009/3/22
11111,2,11,13,23,31,11,12,2009/3/23
11112,6,17,28,32,33,8,12,2009/3/24
11113,4,5,7,10,12,4,5,2009/3/25
11114,6,8,17,27,35,2,11,2009/3/26
11115,17,26,30,31,35,6,11,2009/3/27
11116,10,15,18,19,26,7,12,2009/3/28
11117,10,12,28,32,33,3,5,2009/3/29
11118,4,7,11,32,35,5,7,2009/3/30
11119,4,15,20,26,31,6,12,2009/3/31
11120,20,25,26,30,31,9,10,2009/4/1
11121,2,3,30,31,33,3,9,2009/4/2
11122,3,8,23,24,34,5,12,2009/4/3
11123,10,14,18,19,35,1,6,2009/4/4
11124,8,12,14,20,25,6,8,2009/4/5
11125,7,10,27,34,35,10,12,2009/4/6
11126,7,17,29,30,33,10,12,2009/4/7
11127,1,11,22,26,29,5,8,2009/4/8
11128,3,4,6,11,13,1,2,2009/4/9
11129,1,7,13,18,23,4,8,2009/4/10
11130,8,9,13,23,35,11,12,2009/4/11
11131,3,5,12,18,33,7,11,2009/4/12
11132,12,14,16,19,33,2,9,2009/4/13
11133,4,11,23,26,35,3,12,2009/4/14
11134,1,10,12,14,17,9,10,2009/4/15
11135,6,22,29,33,35,3,12,2009/4/16
11136,8,9,11,19,33,3,12,2009/4/17
11137,2,15,18,23,31,1,2,2009/4/18
11138,17,23,26,30,32,6,12,2009/4/19
11139,4,6,10,15,16,3,4,2009/4/20
11140,1,12,32,33,34,9,11,2009/4/21
11141,2,11,19,22,35,10,12,2009/4/22
11142,4,26,30,33,34,4,6,2009/4/23
11143,8,9,12,25,33,7,10,2009/4/24
11144,7,18,24,28,33,2,3,2009/4/25
11145,7,15,19,24,29,4,6,2009/4/26
11146,9,13,19,29,34,2,11,2009/4/27
11147,1,15,16,27,28,2,7,2009/4/28
11148,7,10,11,26,31,3,4,2009/4/29
11149,2,7,12,29,31,3,5,2009/4/30
11150,13,22,30,33,34,6,12,2009/5/1
11151,7,11,14,20,27,3,10,2009/5/2
11152,1,4,6,21,35,2,11,2009/5/3
11153,6,22,29,30,35,3,5,2009/5/4
11154,4,12,16,20,28,8,11,2009/5/5
12001,7,27,28,32,33,1,12,2009/5/6
12002,3,11,14,26,29,7,8,2009/5/7
12003,16,22,24,33,34,3,10,2009/5/8
12004,10,11,22,31,32,6,7,2009/5/9
12005,1,2,29,31,33,7,12,2009/5/10
12006,3,20,22,25,27,1,9,2009/5/11
12007,4,5,13,17,25,7,10,2009/5/12
12008,6,8,30,31,32,1,11,2009/5/13
12009,6,14,20,29,35,9,10,2009/5/14
12010,25,26,29,32,34,5,7,2009/5/15
12011,5,19,22,29,30,2,4,2009/5/16
12012,6,18,22,30,35,2,7,2009/5/17
12013,7,8,11,12,24,1,2,2009/5/18
12014,10,14,24,30,32,1,12,2009/5/19
12015,12,13,24,26,33,6,8,2009/5/20
12016,5,14,20,29,31,8,12,2009/5/21
12017,6,11,22,29,34,3,12,2009/5/22
12018,3,10,14,29,31,4,8,2009/5/23
12019,7,9,17,30,34,1,12,2009/5/24
12020,12,14,27,29,34,3,6,2009/5/25
12021,10,15,21,31,34,7,8,2009/5/26
12022,7,12,20,33,35,1,10,2009/5/27
12023,7,9,17,29,35,9,10,2009/5/28
12024,3,11,17,21,30,3,7,2009/5/29
12025,1,2,5,12,27,4,7,2009/5/30
12026,10,11,22,23,29,2,9,2009/5/31
12027,3,10,11,22,31,5,7,2009/6/1
12028,10,12,15,33,34,3,10,2009/6/2
12029,4,7,8,18,29,7,10,2009/6/3
12030,3,21,22,26,32,1,3,2009/6/4
12031,19,21,23,25,30,3,8,2009/6/5
12032,7,8,16,26,34,7,11,2009/6/6
12033,8,13,19,27,32,1,8,2009/6/7
12034,1,8,15,16,29,8,9,2009/6/8
12035,1,4,30,32,35,8,12,2009/6/9
12036,1,9,20,30,31,8,12,2009/6/10
12037,9,13,27,31,35,3,10,2009/6/11
12038,11,23,25,31,35,1,3,2009/6/12
12039,15,21,22,24,35,1,5,2009/6/13
12040,2,13,23,28,29,1,5,2009/6/14
12041,1,2,13,22,23,2,10,2009/6/15
12042,7,24,27,28,35,7,12,2009/6/16
12043,1,6,25,31,34,3,9,2009/6/17
12044,3,4,14,32,35,1,2,2009/6/18
12045,5,11,17,20,28,11,12,2009/6/19
12046,4,8,19,23,27,4,11,2009/6/20
12047,5,7,17,30,34,3,10,2009/6/21
12048,6,9,26,30,35,5,6,2009/6/22
12049,9,18,22,27,31,10,12,2009/6/23
12050,13,17,22,28,29,1,10,2009/6/24
12051,1,2,17,18,33,5,12,2009/6/25
12052,10,20,26,31,33,10,12,2009/6/26
12053,11,12,26,28,31,7,12,2009/6/27
12054,1,16,18,27,30,10,11,2009/6/28
12055,7,22,26,32,33,1,8,2009/6/29
12056,11,21,23,26,34,7,9,2009/6/30
12057,1,2,14,33,34,3,5,2009/7/1
12058,13,21,29,31,35,4,12,2009/7/2
12059,9,13,19,21,27,3,4,2009/7/3
12060,2,16,21,24,30,6,10,2009/7/4
12061,5,10,14,27,33,7,9,2009/7/5
12062,21,32,33,34,35,8,9,2009/7/6
12063,11,25,26,29,35,1,2,2009/7/7
12064,9,12,13,15,30,9,10,2009/7/8
12065,10,22,28,29,34,5,11,2009/7/9
12066,1,20,25,29,33,4,6,2009/7/10
12067,20,22,27,30,33,1,2,2009/7/11
12068,1,21,31,32,35,3,6,2009/7/12
12069,2,4,22,25,34,2,11,2009/7/13
12070,9,22,23,32,34,6,8,2009/7/14
12071,13,23,29,31,34,6,8,2009/7/15
12072,4,8,17,22,25,4,10,2009/7/16
12073,18,23,29,33,34,2,7,2009/7/17
12074,10,22,23,30,32,1,7,2009/7/18
12075,7,9,10,18,22,5,10,2009/7/19
12076,2,14,16,22,24,2,5,2009/7/20
12077,10,30,32,33,34,2,3,2009/7/21
12078,1,2,23,25,35,5,12,2009/7/22
12079,1,5,25,32,33,1,10,2009/7/23
12080,11,12,14,25,28,2,5,2009/7/24
12081,10,16,17,30,35,1,8,2009/7/25
12082,2,4,9,10,15,8,10,2009/7/26
12083,16,19,28,29,31,5,8,2009/7/27
12084,21,24,27,29,31,1,2,2009/7/28
12085,7,18,29,31,33,10,12,2009/7/29
12086,3,20,25,29,32,5,10,2009/7/30
12087,1,6,7,21,31,4,11,2009/7/31
12088,13,17,24,30,35,2,10,2009/8/1
12089,6,12,21,29,32,6,11,2009/8/2
12090,2,21,27,29,33,2,10,2009/8/3
12091,3,10,28,31,33,1,9,2009/8/4
12092,8,9,23,25,31,2,12,2009/8/5
12093,2,16,21,31,33,4,11,2009/8/6
12094,2,14,23,32,35,1,10,2009/8/7
12095,6,9,22,27,30,8,12,2009/8/8
12096,5,10,19,24,35,8,9,2009/8/9
12097,9,17,24,29,32,1,2,2009/8/10
12098,2,11,28,29,30,6,12,2009/8/11
12099,12,18,24,25,32,2,12,2009/8/12
12100,7,9,13,19,27,1,3,2009/8/13
12101,2,5,8,9,31,3,7,2009/8/14
12102,2,4,6,13,35,4,8,2009/8/15
12103,2,9,18,23,24,1,4,2009/8/16
12104,16,18,24,25,27,4,9,2009/8/17
12105,5,6,14,15,31,6,8,2009/8/18
12106,15,23,25,29,31,9,10,2009/8/19
12107,4,7,9,22,33,1,3,2009/8/20
12108,6,7,12,24,35,2,6,2009/8/21
12109,1,22,30,32,35,9,11,2009/8/22
12110,1,11,17,19,26,5,12,2009/8/23
12111,1,24,25,30,33,4,11,2009/8/24
12112,1,2,28,31,35,5,7,2009/8/25
12113,3,10,22,27,29,3,12,2009/8/26
12114,3,6,21,33,35,1,7,2009/8/27
12115,1,6,13,19,23,6,9,2009/8/28
12116,1,11,18,20,22,7,10,2009/8/29
12117,1,12,18,21,33,7,8,2009/8/30
12118,5,17,25,30,33,1,12,2009/8/31
12119,5,6,9,19,32,6,9,2009/9/1
12120,2,10,21,23,29,3,4,2009/9/2
12121,7,18,20,29,30,5,6,2009/9/3
12122,23,24,25,29,31,3,12,2009/9/4
12123,5,8,18,30,33,1,9,2009/9/5
12124,7,11,19,20,35,5,10,2009/9/6
12125,6,14,17,22,35,1,2,2009/9/7
12126,13,14,21,28,29,5,10,2009/9/8
12127,12,13,14,25,35,10,12,2009/9/9
12128,9,10,19,30,31,4,11,2009/9/10
12129,1,7,21,28,31,3,9,2009/9/11
12130,14,19,23,29,30,6,7,2009/9/12
12131,2,16,18,27,30,8,12,2009/9/13
12132,5,8,21,25,33,1,11,2009/9/14
12133,5,7,13,29,30,1,5,2009/9/15
12134,1,6,18,32,35,2,7,2009/9/16
12135,3,5,17,18,33,6,7,2009/9/17
12136,2,23,29,30,31,1,4,2009/9/18
12137,3,12,20,21,27,1,6,2009/9/19
12138,13,17,27,31,33,6,12,2009/9/20
12139,9,10,12,22,25,4,11,2009/9/21
12140,7,17,27,28,29,9,10,2009/9/22
12141,3,11,19,23,34,2,12,2009/9/23
12142,15,19,29,34,35,7,10,2009/9/24
12143,9,27,29,30,31,3,6,2009/9/25
12144,11,13,14,21,29,1,10,2009/9/26
12145,5,22,31,33,35,6,9,2009/9/27
12146,1,10,13,17,26,6,8,2009/9/28
12147,2,3,17,19,33,2,9,2009/9/29
12148,4,16,27,29,34,6,11,2009/9/30
12149,2,10,23,33,34,5,10,2009/10/1
12150,2,14,18,24,31,2,3,2009/10/2
12151,3,19,20,24,33,3,4,2009/10/3
12152,4,17,26,33,34,2,8,2009/10/4
12153,8,9,10,13,22,5,10,2009/10/5
12154,3,26,27,31,32,3,9,2009/10/6
13001,6,9,11,31,32,5,11,2009/10/7
13002,4,20,27,31,32,6,12,2009/10/8
13003,1,16,18,21,31,9,12,2009/10/9
13004,7,8,12,20,25,3,7,2009/10/10
13005,18,22,26,28,31,10,12,2009/10/11
13006,8,20,25,31,32,5,7,2009/10/12
13007,14,29,32,33,34,3,6,2009/10/13
13008,2,7,25,29,34,3,6,2009/10/14
13009,10,17,19,27,29,5,12,2009/10/15
13010,9,15,17,18,29,9,11,2009/10/16
13011,1,2,8,15,23,6,9,2009/10/17
13012,1,14,31,32,34,2,11,2009/10/18
13013,13,15,29,30,35,1,11,2009/10/19
13014,5,8,25,29,31,2,4,2009/10/20
13015,14,15,26,32,33,1,11,2009/10/21
13016,5,15,19,27,32,8,9,2009/10/22
13017,11,14,22,29,34,5,11,2009/10/23
13018,20,23,31,33,34,3,9,2009/10/24
13019,6,12,17,29,30,7,11,2009/10/25
13020,6,11,20,31,32,5,9,2009/10/26
13021,23,24,28,30,33,1,11,2009/10/27
13022,3,4,13,17,23,3,8,2009/10/28
13023,5,19,24,26,35,5,7,2009/10/29
13024,9,12,14,18,24,1,4,2009/10/30
13025,3,23,25,26,28,10,12,2009/10/31
13026,2,10,16,30,33,5,6,2009/11/1
13027,3,12,14,24,35,3,8,2009/11/2
13028,13,19,28,30,34,8,12,2009/11/3
13029,5,7,17,25,26,4,10,2009/11/4
13030,3,5,9,10,28,5,7,2009/11/5
13031,12,17,18,26,32,10,11,2009/11/6
13032,12,27,28,33,35,1,8,2009/11/7
13033,12,18,22,28,31,1,11,2009/11/8
13034,1,3,11,19,29,4,8,2009/11/9
13035,5,14,28,32,34,7,8,2009/11/10
13036,8,12,32,33,35,3,5,2009/11/11
13037,2,26,31,32,34,6,8,2009/11/12
13038,1,19,24,25,26,7,9,2009/11/13
13039,6,23,30,33,35,7,10,2009/11/14
13040,16,17,22,26,35,3,10,2009/11/15
13041,3,13,14,15,34,5,8,2009/11/16
13042,2,6,22,23,33,1,6,2009/11/17
13043,7,13,25,34,35,7,9,2009/11/18
13044,7,11,13,18,28,5,10,2009/11/19
13045,8,11,12,21,25,2,7,2009/11/20
13046,15,16,19,25,32,5,11,2009/11/21
13047,12,20,28,30,35,3,11,2009/11/22
13048,10,11,23,32,33,1,4,2009/11/23
13049,18,22,25,31,32,4,6,2009/11/24
13050,14,22,30,32,33,7,8,2009/11/25
13051,5,8,15,18,33,7,8,2009/11/26
13052,1,2,10,29,31,1,10,2009/11/27
13053,13,31,33,34,35,5,7,2009/11/28
13054,5,8,21,30,32,1,8,2009/11/29
13055,4,5,22,23,24,3,9,2009/11/30
13056,11,22,30,32,35,3,4,2009/12/1
13057,7,15,27,33,35,7,10,2009/12/2
13058,20,21,27,31,35,7,11,2009/12/3
13059,3,8,11,24,27,7,12,2009/12/4
13060,15,25,26,32,35,5,10,2009/12/5
13061,1,14,18,21,32,5,10,2009/12/6
13062,1,5,8,9,12,9,12,2009/12/7
13063,3,5,11,27,28,5,6,2009/12/8
13064,21,24,26,28,32,1,3,2009/12/9
13065,9,28,31,34,35,2,9,2009/12/10
13066,6,7,13,33,34,2,11,2009/12/11
13067,2,3,5,8,29,10,12,2009/12/12
13068,10,17,27,34,35,5,7,2009/12/13
13069,6,12,13,16,30,7,12,2009/12/14
13070,9,12,18,21,29,1,8,2009/12/15
13071,13,19,26,27,28,3,11,2009/12/16
13072,12,27,28,33,35,3,5,2009/12/17
13073,3,5,23,27,31,2,6,2009/12/18
13074,6,14,20,24,32,1,7,2009/12/19
13075,1,11,13,19,35,7,8,2009/12/20
13076,13,15,16,26,27,9,10,2009/12/21
13077,24,26,30,32,35,6,12,2009/12/22
13078,2,7,23,31,33,2,8,2009/12/23
13079,9,10,17,21,34,1,7,2009/12/24
13080,6,21,23,27,31,4,6,2009/12/25
13081,7,9,15,17,23,2,7,2009/12/26
13082,3,9,25,26,33,3,12,2009/12/27
13083,26,29,30,32,35,4,10,2009/12/28
13084,8,22,26,29,35,1,5,2009/12/29
13085,8,19,23,27,32,3,5,2009/12/30
13086,9,16,26,29,31,6,9,2009/12/31
13087,9,12,22,32,34,2,4,2010/1/1
13088,3,5,8,33,35,1,3,2010/1/2
13089,6,7,23,24,29,4,11,2010/1/3
13090,2,26,30,31,33,11,12,2010/1/4
13091,4,9,28,34,35,2,8,2010/1/5
13092,7,10,21,27,33,3,9,2010/1/6
13093,1,5,17,18,26,5,7,2010/1/7
13094,3,28,33,34,35,6,9,2010/1/8
13095,3,17,28,30,33,1,10,2010/1/9
13096,17,19,20,22,26,6,8,2010/1/10
13097,7,8,13,17,32,3,8,2010/1/11
13098,2,6,16,29,34,10,11,2010/1/12
13099,4,11,28,30,33,5,12,2010/1/13
13100,9,12,24,26,30,5,9,2010/1/14
13101,4,9,13,15,32,2,9,2010/1/15
13102,6,12,15,19,26,2,11,2010/1/16
13103,5,8,13,16,31,3,9,2010/1/17
13104,2,5,11,27,29,1,11,2010/1/18
13105,7,13,27,30,34,1,12,2010/1/19
13106,6,7,12,13,27,3,12,2010/1/20
13107,7,13,14,18,25,5,12,2010/1/21
13108,5,10,13,15,18,2,11,2010/1/22
13109,13,20,26,29,32,2,6,2010/1/23
13110,7,16,18,32,33,2,7,2010/1/24
13111,7,12,13,20,27,1,3,2010/1/25
13112,2,10,20,22,29,5,12,2010/1/26
13113,19,21,23,28,30,8,12,2010/1/27
13114,6,17,21,23,33,1,9,2010/1/28
13115,5,16,29,32,34,4,11,2010/1/29
13116,13,22,23,30,33,9,11,2010/1/30
13117,5,16,23,25,33,7,12,2010/1/31
13118,4,6,11,20,31,1,5,2010/2/1
13119,1,2,16,23,35,1,11,2010/2/2
13120,6,14,15,22,26,3,11,2010/2/3
13121,3,18,19,20,24,3,12,2010/2/4
13122,15,17,20,24,35,4,12,2010/2/5
13123,2,9,10,33,34,5,12,2010/2/6
13124,5,7,18,21,32,10,11,2010/2/7
13125,4,8,14,23,28,4,8,2010/2/8
13126,9,10,15,18,30,3,6,2010/2/9
13127,3,14,16,19,32,5,10,2010/2/10
13128,11,13,27,33,35,1,2,2010/2/11
13129,11,23,29,30,33,1,4,2010/2/12
13130,8,9,15,19,30,6,9,2010/2/13
13131,12,15,29,30,31,4,12,2010/2/14
13132,23,26,28,31,34,2,10,2010/2/15
13133,2,8,10,16,17,9,12,2010/2/16
13134,2,13,19,23,32,2,9,2010/2/17
13135,4,13,19,25,26,7,12,2010/2/18
13136,5,11,15,25,28,5,11,2010/2/19
13137,4,12,32,33,34,6,8,2010/2/20
13138,3,8,13,17,24,7,9,2010/2/21
13139,5,6,18,20,31,6,7,2010/2/22
13140,1,12,17,26,28,1,6,2010/2/23
13141,5,15,18,25,31,8,10,2010/2/24
13142,6,11,25,28,29,4,12,2010/2/25
13143,3,8,14,21,31,6,8,2010/2/26
13144,3,20,21,23,35,2,8,2010/2/27
13145,2,13,15,18,20,2,11,2010/2/28
13146,6,7,15,25,31,1,9,2010/3/1
13147,3,9,22,24,25,5,9,2010/3/2
13148,2,5,9,29,32,3,7,2010/3/3
13149,6,7,8,9,13,5,7,2010/3/4
13150,6,7,14,18,22,8,11,2010/3/5
13151,2,13,21,27,30,3,4,2010/3/6
13152,9,12,14,18,19,3,9,2010/3/7
13153,4,5,16,17,30,3,9,2010/3/8
14001,5,13,20,23,29,8,11,2010/3/9
14002,1,12,21,24,29,1,7,2010/3/10
14003,7,11,13,21,33,5,6,2010/3/11
14004,7,10,19,27,28,9,12,2010/3/12
14005,15,17,18,29,33,4,8,2010/3/13
14006,1,4,7,16,35,6,8,2010/3/14
14007,8,11,14,21,32,3,11,2010/3/15
14008,11,13,20,28,35,1,5,2010/3/16
14009,10,18,25,29,33,7,8,2010/3/17
14010,5,10,20,26,27,1,3,2010/3/18
14011,4,6,14,24,35,7,12,2010/3/19
14012,9,20,21,23,29,5,7,2010/3/20
14013,10,11,13,22,28,4,12,2010/3/21
14014,1,9,11,27,29,3,11,2010/3/22
14015,4,6,18,20,30,5,7,2010/3/23
14016,4,6,13,24,34,4,9,2010/3/24
14017,5,10,11,23,34,1,10,2010/3/25
14018,8,9,12,28,34,2,12,2010/3/26
14019,7,12,22,29,32,11,12,2010/3/27
14020,1,14,17,30,35,6,7,2010/3/28
14021,6,10,17,23,24,3,9,2010/3/29
14022,3,6,10,16,25,10,11,2010/3/30
14023,4,13,15,29,33,5,9,2010/3/31
14024,7,11,15,31,32,6,11,2010/4/1
14025,19,20,27,32,34,6,8,2010/4/2
14026,5,10,12,15,26,4,8,2010/4/3
14027,9,10,24,28,29,10,12,2010/4/4
14028,3,10,20,25,30,10,12,2010/4/5
14029,3,21,22,23,35,5,9,2010/4/6
14030,3,14,18,29,35,11,12,2010/4/7
14031,6,15,27,32,33,3,4,2010/4/8
14032,2,5,6,9,31,2,9,2010/4/9
14033,1,7,8,28,29,4,8,2010/4/10
14034,3,11,14,27,32,5,7,2010/4/11
14035,9,12,14,28,29,3,10,2010/4/12
14036,1,2,12,17,29,3,8,2010/4/13
14037,3,4,8,19,34,2,4,2010/4/14
14038,7,8,12,20,32,3,5,2010/4/15
14039,2,5,11,15,20,8,11,2010/4/16
14040,12,15,21,30,33,2,8,2010/4/17
14041,5,7,11,15,18,5,12,2010/4/18
14042,16,21,25,27,35,6,11,2010/4/19
14043,1,11,23,29,30,1,12,2010/4/20
14044,22,23,25,27,35,3,11,2010/4/21
14045,6,10,12,16,30,2,11,2010/4/22
14046,3,15,18,21,26,1,6,2010/4/23
14047,6,17,18,30,34,6,12,2010/4/24
14048,1,2,5,15,35,1,11,2010/4/25
14049,3,15,17,22,31,3,5,2010/4/26
14050,10,18,27,28,35,1,6,2010/4/27
14051,1,7,11,29,30,3,11,2010/4/28
14052,14,19,21,24,30,2,7,2010/4/29
14053,2,11,17,27,30,3,4,2010/4/30
14054,2,3,20,25,34,1,12,2010/5/1
14055,4,23,26,27,35,10,11,2010/5/2
14056,12,18,28,29,35,7,8,2010/5/3
14057,8,10,20,27,33,1,9,2010/5/4
14058,9,15,22,24,26,2,7,2010/5/5
14059,7,15,17,25,29,4,11,2010/5/6
14060,12,22,29,30,34,5,11,2010/5/7
14061,4,11,17,20,29,6,10,2010/5/8
14062,4,7,17,24,25,2,4,2010/5/9
14063,11,17,21,23,34,3,4,2010/5/10
14064,8,15,33,34,35,1,8,2010/5/11
14065,7,12,19,31,33,7,12,2010/5/12
14066,8,14,16,20,31,3,11,2010/5/13
14067,3,18,23,24,31,3,7,2010/5/14
14068,5,15,24,29,35,5,6,2010/5/15
14069,16,22,27,29,31,2,9,2010/5/16
14070,1,2,7,10,32,4,12,2010/5/17
14071,4,14,15,22,23,1,7,2010/5/18
14072,17,19,22,24,30,2,9,2010/5/19
14073,4,5,7,13,35,5,6,2010/5/20
14074,6,11,22,27,30,5,11,2010/5/21
14075,5,7,29,32,35,4,10,2010/5/22
14076,5,10,19,31,32,9,10,2010/5/23
14077,9,16,26,31,32,1,5,2010/5/24
14078,10,15,16,22,28,4,5,2010/5/25
14079,9,10,20,31,32,6,10,2010/5/26
14080,17,20,23,25,27,3,10,2010/5/27
14081,3,5,8,10,25,9,12,2010/5/28
14082,1,8,18,23,25,8,12,2010/5/29
14083,18,20,24,33,35,5,10,2010/5/30
14084,2,7,9,11,28,5,9,2010/5/31
14085,6,12,13,25,29,11,12,2010/6/1
14086,6,8,27,29,35,3,9,2010/6/2
14087,4,7,31,33,35,9,10,2010/6/3
14088,7,13,20,25,26,8,11,2010/6/4
14089,2,8,12,29,30,7,12,2010/6/5
14090,2,3,20,23,28,6,8,2010/6/6
14091,10,16,18,29,32,2,7,2010/6/7
14092,2,18,27,30,32,5,11,2010/6/8
14093,3,8,30,32,34,9,11,2010/6/9
14094,13,14,24,25,34,4,7,2010/6/10
14095,6,22,30,31,34,5,6,2010/6/11
14096,3,7,21,23,31,5,10,2010/6/12
14097,3,15,20,21,23,7,9,2010/6/13
14098,16,18,22,25,35,3,10,2010/6/14
14099,15,21,22,23,33,1,7,2010/6/15
14100,2,4,8,12,35,1,7,2010/6/16
14101,9,10,12,17,28,3,11,2010/6/17
14102,1,7,14,19,20,3,12,2010/6/18
14103,14,20,23,25,26,10,12,2010/6/19
14104,7,13,14,28,32,4,11,2010/6/20
14105,4,10,26,29,32,4,8,2010/6/21
14106,5,9,11,20,22,5,11,2010/6/22
14107,5,13,14,21,34,8,10,2010/6/23
14108,1,2,13,23,35,9,12,2010/6/24
14109,15,18,20,21,23,1,2,2010/6/25
14110,9,18,19,22,24,8,11,2010/6/26
14111,11,16,18,20,29,3,4,2010/6/27
14112,3,5,14,18,32,2,10,2010/6/28
14113,2,13,17,19,23,1,6,2010/6/29
14114,3,16,24,30,33,5,8,2010/6/30
14115,1,5,26,29,30,2,10,2010/7/1
14116,6,13,15,24,27,4,5,2010/7/2
14117,3,14,17,18,33,6,9,2010/7/3
14118,2,3,23,24,26,5,11,2010/7/4
14119,4,8,9,13,18,8,12,2010/7/5
14120,1,4,6,18,33,5,11,2010/7/6
14121,13,16,18,22,32,8,10,2010/7/7
14122,3,10,25,26,35,1,7,2010/7/8
14123,1,9,12,22,25,2,9,2010/7/9
14124,1,3,28,29,35,8,12,2010/7/10
14125,12,15,19,23,31,4,10,2010/7/11
14126,2,9,22,30,34,9,10,2010/7/12
14127,2,4,6,15,19,2,11,2010/7/13
14128,2,4,16,22,34,8,11,2010/7/14
14129,7,22,28,30,32,5,6,2010/7/15
14130,2,18,31,32,33,5,7,2010/7/16
14131,3,16,19,23,27,3,7,2010/7/17
14132,1,3,4,19,32,1,7,2010/7/18
14133,2,8,12,14,18,4,12,2010/7/19
14134,2,5,7,11,32,9,12,2010/7/20
14135,20,26,28,30,35,9,12,2010/7/21
14136,4,18,20,34,35,7,11,2010/7/22
14137,2,11,16,22,34,2,5,2010/7/23
14138,1,7,29,32,34,9,12,2010/7/24
14139,3,5,7,15,34,1,10,2010/7/25
14140,1,19,20,25,34,7,12,2010/7/26
14141,4,17,20,26,29,5,8,2010/7/27
